Date,CSV Name,Density,Velocity,Biofouled
101918,101918pumpdata.csv,0,30,0
111518,111518pumpdata.csv,1450,30,0
120418,120418pumpdata.csv,1450,30,1
013119,013119pumpdata.csv,1450,30,1
032119,032119pumpdata.csv,0,30,0
041719,041719pumpdata.csv,278,30,0
050619,050619pumpdata.csv,278,30,0
061219,061219pumpdata.csv,800,30,0
070119,070119pumpdata.csv,800,30,1
072919,072919pumpdata.csv,0,10,0
080219,080219pumpdata.csv,0,20,0
080819,080819pumpdata.csv,232,10,0
081519,081519pumpdata.csv,232,20,0
090519,090519pumpdata.csv,278,10,0
091819,091819pumpdata.csv,278,30,1
092619,092619pumpdata.csv,278,20,0
102919,102919pumpdata.csv,800,10,0
012820,012820pumpdata.csv,278,30,1
021120,021120pumpdata.csv,800,20,0
030320,030320pumpdata.csv,1450,10,0
031320,031320pumpdata.csv,1450,20,0
