Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,140,EC,130.52,CY,138.31,EC,7.79,55.64285714
300,1,U,14,144,EC,131.62,CY,139.14,EC,7.52,52.22222222
300,1,U,27,141,EC,132.36,CY,138.67,EC,6.31,44.75177305
300,1,D,5,136,EC,131.85,CY,142.19,EC,10.34,76.02941176
300,1,D,14,138,EC,132.81,CY,139.78,EC,6.97,50.50724638
300,1,D,27,142,EC,130.83,CY,135.86,EC,5.03,35.42253521
600,2,U,5,138,EC,132.3,CY,139.21,EC,6.91,50.07246377
600,2,U,14,142,EC,130.98,CY,137.95,EC,6.97,49.08450704
600,2,U,27,141,EC,134.59,CY,141.05,EC,6.46,45.81560284
600,2,D,5,136,EC,134.44,CY,139.75,EC,5.31,39.04411765
600,2,D,14,143,EC,131.47,CY,138.78,EC,7.31,51.11888112
600,2,D,27,141,EC,132.18,CY,138.67,EC,6.49,46.02836879
900,3,U,5,140,EC,129.48,CY,135.02,EC,5.54,39.57142857
900,3,U,14,141,EC,132.18,CY,137.73,EC,5.55,39.36170213
900,3,U,27,141,EC,130.82,CY,135.59,EC,4.77,33.82978723
900,3,D,5,136,EC,131.55,CY,135.75,EC,4.2,30.88235294
900,3,D,14,138,EC,132.05,CY,136.82,EC,4.77,34.56521739
900,3,D,27,138,EC,129.98,CY,134.09,EC,4.11,29.7826087
1200,4,U,5,141,EC,132.18,CY,137.1,EC,4.92,34.89361702
1200,4,U,14,142,EC,131.9,CY,136.55,EC,4.65,32.74647887
1200,4,U,27,142,EC,132.82,CY,137.38,EC,4.56,32.11267606
1200,4,D,5,136,EC,131.54,CY,136.1,EC,4.56,33.52941176
1200,4,D,14,140,EC,133.92,CY,139.28,EC,5.36,38.28571429
1200,4,D,27,136,EC,131.58,CY,136.26,EC,4.68,34.41176471
1500,5,U,5,136,EC,130.92,CY,135.22,EC,4.3,31.61764706
1500,5,U,14,142,EC,130.64,CY,135.18,EC,4.54,31.97183099
1500,5,U,27,140,EC,130.4,CY,134.55,EC,4.15,29.64285714
1500,5,D,5,141,EC,130.98,CY,134.73,EC,3.75,26.59574468
1500,5,D,14,142,EC,132.32,CY,136.53,EC,4.21,29.64788732
1500,5,D,27,141,EC,132.07,CY,135.57,EC,3.5,24.82269504
1800,6,U,5,140,EC,130.97,CY,134.86,CY,3.89,27.78571429
1800,6,U,14,143,EC,131.62,CY,135.21,CY,3.59,25.1048951
1800,6,U,27,133,EC,131.3,CY,134.55,CY,3.25,24.43609023
1800,6,D,5,140,EC,134.01,CY,137.8,CY,3.79,27.07142857
1800,6,D,14,144,EC,132.27,CY,136.57,CY,4.3,29.86111111
1800,6,D,27,141,EC,132.8,CY,136.75,CY,3.95,28.0141844
2100,7,U,5,140,EC,132.51,CY,136.19,CY,3.68,26.28571429
2100,7,U,14,141,EC,131.04,CY,134.92,CY,3.88,27.5177305
2100,7,U,27,140,EC,131.58,CY,135.11,CY,3.53,25.21428571
2100,7,D,5,140,EC,132.37,CY,135.57,CY,3.2,22.85714286
2100,7,D,14,142,EC,133.67,CY,137.39,CY,3.72,26.1971831
2100,7,D,27,142,EC,132.86,CY,136.32,CY,3.46,24.36619718
2400,8,U,5,140,CY,131.78,JW,134.94,CY,3.16,22.57142857
2400,8,U,14,142,CY,133.19,JW,136.3,CY,3.11,21.90140845
2400,8,U,27,142,CY,134.66,JW,137.69,CY,3.03,21.33802817
2400,8,D,5,141,CY,131.16,JW,134.25,CY,3.09,21.91489362
2400,8,D,14,143,CY,132.23,JW,135.68,CY,3.45,24.12587413
2400,8,D,27,143,CY,132.47,JW,135.84,CY,3.37,23.56643357
2700,9,U,5,139,CY,135.39,JW,138.54,CY,3.15,22.6618705
2700,9,U,14,144,CY,131.96,JW,135.21,CY,3.25,22.56944444
2700,9,U,27,142,CY,132.04,JW,135.1,CY,3.06,21.54929577
2700,9,D,5,141,CY,129.06,JW,131.82,CY,2.76,19.57446809
2700,9,D,14,144,CY,133.48,JW,136.65,CY,3.17,22.01388889
2700,9,D,27,143,CY,132.03,JW,134.97,CY,2.94,20.55944056
3000,10,U,5,142,CY,130.53,JW,133.35,CY,2.82,19.85915493
3000,10,U,14,145,CY,132.73,JW,135.55,CY,2.82,19.44827586
3000,10,U,27,143,CY,131.74,JW,134.36,CY,2.62,18.32167832
3000,10,D,5,142,CY,134.89,JW,137.65,CY,2.76,19.43661972
3000,10,D,14,143,CY,130.33,JW,133.46,CY,3.13,21.88811189
3000,10,D,27,144,CY,134.83,JW,137.74,CY,2.91,20.20833333
3300,11,U,5,141,CY,131.47,JW,134.25,CY,2.78,19.71631206
3300,11,U,14,144,CY,130.33,JW,133.15,CY,2.82,19.58333333
3300,11,U,27,143,CY,131.28,JW,134.01,CY,2.73,19.09090909
3300,11,D,5,144,CY,133.05,JW,135.63,CY,2.58,17.91666667
3300,11,D,14,144,CY,133.55,JW,136.44,CY,2.89,20.06944444
3300,11,D,27,141,CY,134.32,JW,134.96,CY,0.64,4.539007092
3600,12,U,5,136,CY,133.49,JW,135.88,CY,2.39,17.57352941
3600,12,U,14,144,CY,132.79,JW,135.38,CY,2.59,17.98611111
3600,12,U,27,143,CY,130.81,JW,133.15,CY,2.34,16.36363636
3600,12,D,5,143,CY,132.34,JW,134.74,CY,2.4,16.78321678
3600,12,D,14,144,CY,131.84,JW,134.45,CY,2.61,18.125
3600,12,D,27,143,CY,131.53,JW,134.1,CY,2.57,17.97202797
3900,13,U,5,141,CY,134.16,JW,136.59,CY,2.43,17.23404255
3900,13,U,14,144,CY,135.36,JW,137.82,CY,2.46,17.08333333
3900,13,U,27,142,CY,130.71,JW,133.14,CY,2.43,17.11267606
3900,13,D,5,141,CY,131.63,JW,133.93,CY,2.3,16.31205674
3900,13,D,14,143,CY,131.24,JW,133.81,CY,2.57,17.97202797
3900,13,D,27,143,CY,131.72,JW,134.2,CY,2.48,17.34265734
4200,14,U,5,141,CY,131.42,JW,133.68,CY,2.26,16.02836879
4200,14,U,14,145,CY,131.9,JW,134.24,CY,2.34,16.13793103
4200,14,U,27,143,CY,132.21,JW,134.5,CY,2.29,16.01398601
4200,14,D,5,143,CY,131.84,JW,134.01,CY,2.17,15.17482517
4200,14,D,14,143,CY,130.98,JW,133.36,CY,2.38,16.64335664
4200,14,D,27,144,CY,132.5,JW,134.77,CY,2.27,15.76388889
4500,15,U,5,142,CY,130.01,JW,132.25,CY,2.24,15.77464789
4500,15,U,14,144,CY,130.84,JW,133.08,CY,2.24,15.55555556
4500,15,U,27,143,CY,130.33,JW,132.49,CY,2.16,15.1048951
4500,15,D,5,141,CY,130.4,JW,132.35,CY,1.95,13.82978723
4500,15,D,14,143,CY,132.04,JW,134.26,CY,2.22,15.52447552
4500,15,D,27,143,CY,130.31,JW,132.47,CY,2.16,15.1048951
4800,16,U,5,140,JW,129.63,JW,131.94,CY,2.31,16.5
4800,16,U,14,140,JW,134.33,JW,136.52,CY,2.19,15.64285714
4800,16,U,27,141,JW,132.61,JW,134.69,CY,2.08,14.75177305
4800,16,D,5,137,JW,131.47,JW,133.58,CY,2.11,15.40145985
4800,16,D,14,141,JW,131.45,JW,133.78,CY,2.33,16.5248227
4800,16,D,27,139,JW,130.58,JW,132.82,CY,2.24,16.11510791
5100,17,U,5,140,JW,134.73,JW,136.88,CY,2.15,15.35714286
