Sample Time,time series,Location,Height,Volume (mL),Initials,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sediment weight,mass volume concentration (ppm)
300,1,U,5,135,,131.94,,139.5,,7.56,56
300,1,U,14,141,,134.52,,142.23,,7.71,54.68085106
300,1,U,27,141,,132.91,,140.69,,7.78,55.17730496
300,1,D,5,139,,135.46,,143.21,,7.75,55.75539568
300,1,D,14,141,,131.99,,139.76,,7.77,55.10638298
300,1,D,27,139,,133.89,,140.82,,6.93,49.85611511
600,2,U,5,142,,130.56,,137.42,,6.86,48.30985915
600,2,U,14,142,,134.18,,140.98,,6.8,47.88732394
600,2,U,27,141,,131.8,,138.33,,6.53,46.31205674
600,2,D,5,140,,133.11,,139.94,,6.83,48.78571429
600,2,D,14,145,,133.45,,140.69,,7.24,49.93103448
600,2,D,27,141,,132.73,,139.16,,6.43,45.60283688
900,3,U,5,142,,130.94,,137.13,,6.19,43.5915493
900,3,U,14,144,,131.54,,137.94,,6.4,44.44444444
900,3,U,27,142,,131.42,,137.5,,6.08,42.81690141
900,3,D,5,139,,134.36,,140.41,,6.05,43.52517986
900,3,D,14,141,,132.42,,138.77,,6.35,45.03546099
900,3,D,27,141,,132.68,,138.68,,6,42.55319149
1200,4,U,5,143,,131.18,,136.76,,5.58,39.02097902
1200,4,U,14,145,,132.82,,138.31,,5.49,37.86206897
1200,4,U,27,142,,131.19,,136.58,,5.39,37.95774648
1200,4,D,5,139,,134.14,,139.58,,5.44,39.13669065
1200,4,D,14,142,,131.74,,137.47,,5.73,40.35211268
1200,4,D,27,140,,132.14,,137.56,,5.42,38.71428571
1500,5,U,5,144,,132.93,,138.18,,5.25,36.45833333
1500,5,U,14,143,,130.5,,135.84,,5.34,37.34265734
1500,5,U,27,145,,133.08,,138.23,,5.15,35.51724138
1500,5,D,5,140,,133.12,,138.05,,4.93,35.21428571
1500,5,D,14,140,,133.54,,138.57,,5.03,35.92857143
1500,5,D,27,140,,133.73,,138.72,,4.99,35.64285714
1800,6,U,5,144,,132.89,,137.81,,4.92,34.16666667
1800,6,U,14,143,,133.39,,138.04,,4.65,32.51748252
1800,6,U,27,143,,132.78,,137.73,,4.95,34.61538462
1800,6,D,5,139,,133.51,,138.34,,4.83,34.74820144
1800,6,D,14,142,,130.46,,135.47,,5.01,35.28169014
1800,6,D,27,141,,129.91,,134.63,,4.72,33.4751773
2100,7,U,5,143,,130.89,,135.61,,4.72,33.00699301
2100,7,U,14,143,,132.9,,137.41,,4.51,31.53846154
2100,7,U,27,143,,130.55,,134.83,,4.28,29.93006993
2100,7,D,5,141,,130.95,,135.6,,4.65,32.9787234
2100,7,D,14,144,,130.79,,135.33,,4.54,31.52777778
2100,7,D,27,141,,132.43,,136.84,,4.41,31.27659574
2400,8,U,5,144,,132.04,,136.61,,4.57,31.73611111
2400,8,U,14,143,,133.11,,137.22,,4.11,28.74125874
2400,8,U,27,145,,128.82,,132.84,,4.02,27.72413793
2400,8,D,5,139,,129.33,,133.21,,3.88,27.91366906
2400,8,D,14,142,,136.62,,140.87,,4.25,29.92957746
2400,8,D,27,142,,135.55,,139.66,,4.11,28.94366197
2700,9,U,5,145,,135.2,,139.49,,4.29,29.5862069
2700,9,U,14,145,,131.35,,135.49,,4.14,28.55172414
2700,9,U,27,146,,133.19,,137.33,,4.14,28.35616438
2700,9,D,5,141,,132.83,,136.98,,4.15,29.43262411
2700,9,D,14,141,,134.88,,138.95,,4.07,28.86524823
2700,9,D,27,140,,133.98,,137.96,,3.98,28.42857143
3000,10,U,5,144,,132.86,,136.43,,3.57,24.79166667
3000,10,U,14,144,,133.33,,136.66,,3.33,23.125
3000,10,U,27,144,,132.01,,135.43,,3.42,23.75
3000,10,D,5,139,,133.17,,136.2,,3.03,21.79856115
3000,10,D,14,142,,132.11,,135.82,,3.71,26.12676056
3000,10,D,27,142,,134.26,,138.02,,3.76,26.47887324
3300,11,U,5,144,,132.35,,136.05,,3.7,25.69444444
3300,11,U,14,144,,132.93,,136.38,,3.45,23.95833333
3300,11,U,27,143,,133.03,,136.27,,3.24,22.65734266
3300,11,D,5,138,,133.85,,137,,3.15,22.82608696
3300,11,D,14,143,,134.62,,137.68,,3.06,21.3986014
3300,11,D,27,141,,132.92,,136.2,,3.28,23.26241135
3600,12,U,5,144,,133.62,,136.92,,3.3,22.91666667
3600,12,U,14,144,,133.51,,136.74,,3.23,22.43055556
3600,12,U,27,142,,133.47,,136.52,,3.05,21.47887324
3600,12,D,5,138,,133.03,,135.89,,2.86,20.72463768
3600,12,D,14,140,,134.6,,137.59,,2.99,21.35714286
3600,12,D,27,141,,133.35,,136.57,,3.22,22.83687943
3900,13,U,5,143,,135.17,,138.2,,3.03,21.18881119
3900,13,U,14,145,,134.72,,137.77,,3.05,21.03448276
3900,13,U,27,142,,133.67,,136.6,,2.93,20.63380282
3900,13,D,5,139,,132.06,,134.67,,2.61,18.77697842
