Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,139,JW,128.37,CY,136.53,NU,8.16,58.70503597
300,1,U,14,141,JW,129.86,CY,136.86,NU,7,49.64539007
300,1,U,27,141,JW,127.92,CY,135.6,NU,7.68,54.46808511
300,1,D,5,135,JW,128.59,CY,136.97,NU,8.38,62.07407407
300,1,D,14,140,JW,128.87,CY,137.14,NU,8.27,59.07142857
300,1,D,27,140,JW,127.24,CY,133.55,NU,6.31,45.07142857
600,2,U,5,141,JW,129.11,CY,135.52,NU,6.41,45.46099291
600,2,U,14,141,JW,129.84,JW,135.22,NU,5.38,38.15602837
600,2,U,27,138,JW,128.37,CY,133.41,NU,5.04,36.52173913
600,2,D,5,140,JW,128.6,CY,135.46,NU,6.86,49
600,2,D,14,140,JW,128.37,CY,134.93,NU,6.56,46.85714286
600,2,D,27,141,JW,127.59,CY,132.92,NU,5.33,37.80141844
900,3,U,5,141,JW,127.64,CY,132.42,NU,4.78,33.90070922
900,3,U,14,140,JW,127.22,CY,131.33,NU,4.11,29.35714286
900,3,U,27,140,JW,129.12,CY,133.81,NU,4.69,33.5
900,3,D,5,137,JW,128.82,CY,134.48,NU,5.66,41.31386861
900,3,D,14,139,JW,128.74,CY,134.03,NU,5.29,38.05755396
900,3,D,27,142,JW,125.37,CY,130.57,NU,5.2,36.61971831
1200,4,U,5,141,NU,129.25,CY,133.94,NU,4.69,33.26241135
1200,4,U,14,141,NU,127.84,CY,132.3,NU,4.46,31.63120567
1200,4,U,27,141,NU,127.44,CY,131.91,NU,4.47,31.70212766
1200,4,D,5,139,NU,127.75,CY,132.98,NU,5.23,37.62589928
1200,4,D,14,140,NU,127.33,CY,131.98,NU,4.65,33.21428571
1200,4,D,27,142,NU,128.23,CY,132.43,NU,4.2,29.57746479
1500,5,U,5,139,NU,126.98,CY,130.87,NU,3.89,27.98561151
1500,5,U,14,139,NU,127.45,CY,131.34,NU,3.89,27.98561151
1500,5,U,27,139,NU,128.49,CY,132.4,NU,3.91,28.1294964
1500,5,D,5,140,NU,127.61,CY,132.51,NU,4.9,35
1500,5,D,14,142,NU,128.2,CY,133.1,NU,4.9,34.50704225
1500,5,D,27,141,NU,127.54,CY,131.98,NU,4.44,31.4893617
1800,6,U,5,142,NU,129.34,CY,133.38,NU,4.04,28.45070423
1800,6,U,14,142,NU,127.85,CY,131.75,NU,3.9,27.46478873
1800,6,U,27,141,NU,129.01,CY,132.88,NU,3.87,27.44680851
1800,6,D,5,138,NU,128.7,CY,132.85,NU,4.15,30.07246377
1800,6,D,14,141,NU,129.76,CY,133.77,NU,4.01,28.43971631
1800,6,D,27,141,NU,127.45,CY,131.11,NU,3.66,25.95744681
2100,7,U,5,141,NU,127.81,CY,131.61,NU,3.8,26.95035461
2100,7,U,14,138,NU,126.69,CY,130.04,NU,3.35,24.27536232
2100,7,U,27,141,NU,127.62,CY,131.17,NU,3.55,25.17730496
2100,7,D,5,139,NU,128.27,CY,132.16,NU,3.89,27.98561151
