Date,CSV Name,Density,Velocity,Biofouled,Re_c,Frontal Area,k_t,m_s,k_s,k_c,ECE %
10192018,101918pumpdata.csv,0,30,0,199.034,0.0,0.00016539355289925167,75.99453647020415,0.00016539355289925167,0.0,0.0
11152018,111518pumpdata.csv,1450,30,0,199.034,4.604,0.00023188701408448289,63.46070233120187,9.794102364511985e-05,0.0006954887965120774,0.25343073593602417
12042018,120418pumpdata.csv,1450,30,1,199.034,4.604,0.00029584661580593635,64.96253037083414,0.00011570288518949863,0.0009353616782007345,0.3408385579488631
1312019,013119pumpdata.csv,1450,30,1,199.034,4.604,0.00043464457433688516,63.04796419603068,0.00014791754784509867,0.0014887749452458148,0.5424980702909267
3212019,032119pumpdata.csv,0,30,0,199.034,0.0,0.00020256360497820255,75.99453647020415,0.00020256360497820255,0.0,0.0
5062019,050619pumpdata.csv,278,30,0,199.034,0.883,0.00024663153529429297,70.60424697839568,0.00011273411166422684,0.0006952366226945744,1.3213716774635396
6122019,061219pumpdata.csv,800,30,0,199.034,2.54,0.00024559802464324987,69.40611980434784,0.0001105594058432733,0.0007011620591537246,0.4630901774617195
7012019,070119pumpdata.csv,800,30,1,199.034,2.54,0.00027408725678482816,63.915772582800884,0.00010855494794664989,0.0008594946805059257,0.5676626949885052
7292019,072919pumpdata.csv,0,10,0,68.148,0.0,0.0002120414907804829,100.88858386509744,0.0002120414907804829,0.0,0.0
8022019,080219pumpdata.csv,0,20,0,133.591,0.0,0.00022869864339239153,50.395940564134655,0.00022869864339239153,0.0,0.0
9052019,090519pumpdata.csv,278,10,0,68.148,0.883,0.00028853310972110183,92.69667794061175,0.0001625054795012307,0.0006543742338339463,3.6324083076179603
9182019,091819pumpdata.csv,278,30,1,199.034,0.883,0.0003155441566361243,72.23339206516312,0.00013416689005552263,0.0009417665764762011,1.7899282637245977
9262019,092619pumpdata.csv,278,20,0,133.591,0.883,0.00022229850494070522,56.70983986891363,8.558119958993745e-05,0.0007098783162443712,2.0101424432720103
10292019,102919pumpdata.csv,800,10,0,68.148,2.54,0.00022364605049322037,87.3448721910104,0.00013223084927044913,0.00047465585250285074,0.9155922727836264
1282020,012820pumpdata.csv,278,30,1,199.034,0.883,0.00028793826966527465,64.20568344076108,0.00011241267759461463,0.0009113828819053503,1.7321807973914516
2112020,021120pumpdata.csv,800,20,0,133.591,2.54,0.0002397320000371405,54.354634845838824,8.542480565938437e-05,0.0008012104323460417,0.7883958462609167
3032020,030320pumpdata.csv,1450,10,0,68.148,4.604,0.00023822924840930418,82.18805073525837,0.00012872141418790635,0.0005685983699957196,0.6051330510265538
3132020,031320pumpdata.csv,1450,20,0,133.591,4.604,0.00023297917428758517,47.97146480508705,7.4224145599676e-05,0.0008243049566487592,0.44751503226488215
