Date,CSV Name,Density,Velocity,Biofouled
10192018,101918pumpdata.csv,0,30,0
11152018,111518pumpdata.csv,1450,30,0
12042018,120418pumpdata.csv,1450,30,1
1312019,013119pumpdata.csv,1450,30,1
3212019,032119pumpdata.csv,0,30,0
4172019,041719pumpdata.csv,278,30,0
5062019,050619pumpdata.csv,278,30,0
6122019,061219pumpdata.csv,800,30,0
7012019,070119pumpdata.csv,800,30,1
7292019,072919pumpdata.csv,0,10,0
8022019,080219pumpdata.csv,0,20,0
8082019,080819pumpdata.csv,232,10,0
8152019,081519pumpdata.csv,232,20,0
9052019,090519pumpdata.csv,278,10,0
9182019,091819pumpdata.csv,278,30,1
9262019,092619pumpdata.csv,278,20,0
10292019,102919pumpdata.csv,800,10,0
1282020,012820pumpdata.csv,278,30,1
2112020,021120pumpdata.csv,800,20,0
3032020,030320pumpdata.csv,1450,10,0
3132020,031320pumpdata.csv,1450,20,0
