weigh date,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm),
Oct 1,2,U,5,141,125.95,129.19,3.24,22.9787234,
Oct 1,2,U,14,136,127.84,131.75,3.91,28.75,
Oct 1,2,U,27,142,123.54,127.12,3.58,25.21126761,
Oct 1,2,D,5,not measured,126.88,129.96,3.08,#VALUE!,
Oct 1,2,D,14,132,126.62,129.65,3.03,22.95454545,
Oct 1,2,D,27,130,128.55,131.75,3.20,24.61538462,
Oct 1,3,U,5,136,125.83,128.50,2.67,19.63235294,
Oct 1,3,U,14,136,125.58,128.13,2.55,18.75,
Oct 1,3,U,27,136,125.76,128.26,2.50,18.38235294,
Oct 1,3,D,5,132,127.45,130.70,3.25,24.62121212,
Oct 1,3,D,14,134,126.10,129.15,3.05,22.76119403,
Oct 1,3,D,27,128.5,124.95,127.72,2.77,21.55642023,
Sep 27,4,U,5,135,126.90,129.09,2.19,16.22222222,
Sep 27,4,U,14,136,126.66,129.33,2.67,19.63235294,
Sep 27,4,U,27,141,127.26,129.43,2.17,15.39007092,
Sep 27,4,D,5,136,126.60,128.49,1.89,13.89705882,
Sep 27,4,D,14,136,126.90,129.10,2.20,16.17647059,
Sep 27,4,D,27,135,125.13,127.11,1.98,14.66666667,
Oct 1,5,U,5,143,125.75,128.16,2.41,16.85314685,
Oct 1,5,U,14,144,126.29,128.74,2.45,17.01388889,
Oct 1,5,U,27,145,126.38,128.96,2.58,17.79310345,
Oct 1,5,D,5,135,125.99,127.90,1.91,14.14814815,
Oct 1,5,D,14,139,125.03,127.25,2.22,15.97122302,
Oct 1,5,D,27,138,126.23,128.11,1.88,13.62318841,
Oct 1,6,U,5,144,125.77,127.59,1.82,12.63888889,
Oct 1,6,U,14,141,128.00,130.08,2.08,14.75177305,
Oct 1,6,U,27,141,126.71,128.67,1.96,13.90070922,
Oct 1,6,D,5,131,125.55,128.04,2.49,19.00763359,
Oct 1,6,D,14,139,123.82,126.06,2.24,16.11510791,
Oct 1,6,D,27,134,123.90,125.96,2.06,15.37313433,
