weigh date,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm)
Oct 4,2,U,5,141,126.31,129.41,3.1,21.9858156
Oct 4,2,U,14,144,124.11,127.87,3.76,26.11111111
Oct 4,2,U,27,144,125.04,126.51,1.47,10.20833333
Oct 4,2,D,5,140,123.81,126.97,3.16,22.57142857
Oct 4,2,D,14,140,125.6,128.73,3.13,22.35714286
Oct 4,2,D,27,140,126.5,128.57,2.07,14.78571429
Oct 4,3,U,5,142,128.14,130.27,2.13,15
Oct 4,3,U,14,143,128.05,131.06,3.01,21.04895105
Oct 4,3,U,27,142,126.16,129.14,2.98,20.98591549
Oct 4,3,D,5,142,126.57,130.06,3.49,24.57746479
Oct 4,3,D,14,141,126.54,130.2,3.66,25.95744681
Oct 4,3,D,27,141,126.53,129.89,3.36,23.82978723
Oct 4,4,U,5,146,125.87,128.98,3.11,21.30136986
Oct 4,4,U,14,141,127.21,129.85,2.64,18.72340426
Oct 4,4,U,27,144,127.75,130.46,2.71,18.81944444
Oct 4,4,D,5,139,127.26,127.88,0.62,4.460431655
Oct 4,4,D,14,139,128.56,128.96,0.4,2.877697842
Oct 4,4,D,27,137,128.3,127.86,-0.44,-3.211678832
Oct 4,5,U,5,143,125.3,126.87,1.57,10.97902098
Oct 4,5,U,14,140,122.35,122.26,-0.09,-0.6428571429
Oct 4,5,U,27,142,125.44,125.44,0,0
Oct 4,5,D,5,135,123.96,124.17,0.21,1.555555556
Oct 4,5,D,14,139,125.7,126.9,1.2,8.633093525
Oct 4,5,D,27,132,125.08,124.81,-0.27,-2.045454545
Oct 4,6,U,5,138,125.5,127.65,2.15,15.57971014
Oct 4,6,U,14,140,125.65,125.78,0.13,0.9285714286
Oct 4,6,U,27,138,125.04,127.44,2.4,17.39130435
Oct 4,6,D,5,138,125.98,130.64,4.66,33.76811594
Oct 4,6,D,14,138,123.25,125.37,2.12,15.36231884
Oct 4,6,D,27,139,128.31,126.71,-1.6,-11.51079137
Oct 4,7,U,5,138,126.87,128.66,1.79,12.97101449
Oct 4,7,U,14,144,126.76,127.24,0.48,3.333333333
Oct 4,7,U,27,144,127.03,128.01,0.98,6.805555556
Oct 4,7,D,5,137,126.26,128.35,2.09,15.25547445
Oct 4,7,D,14,139,127.37,129.03,1.66,11.94244604
Oct 4,7,D,27,138,129.46,131.34,1.88,13.62318841
Oct 4,8,U,5,141,125.58,127.71,2.13,15.10638298
Oct 4,8,U,14,142,126.62,128.3,1.68,11.83098592
Oct 4,8,U,27,143,128.32,130.54,2.22,15.52447552
Oct 4,8,D,5,137,126.12,128.14,2.02,14.74452555
Oct 4,8,D,14,140,125.72,127.69,1.97,14.07142857
Oct 4,8,D,27,137,124.62,126.34,1.72,12.55474453
,9,U,5,144,126.23,128.57,2.34,16.25
,9,U,14,142,127.12,128.91,1.79,12.6056338
,9,U,27,141,128.26,130.08,1.82,12.90780142
,9,D,5,137,126.3,128.25,1.95,14.23357664
,9,D,14,138,127.41,128.34,0.93,6.739130435
,9,D,27,137,127.83,128.8,0.97,7.080291971
,10,U,5,141,127.76,128.92,1.16,8.226950355
,10,U,14,143.5,127.46,127.98,0.52,3.62369338
,10,U,27,142,126.36,127.38,1.02,7.183098592
,10,D,5,136,128.43,130.03,1.6,11.76470588
,10,D,14,139,124.6,125.91,1.31,9.424460432
,10,D,27,137,124.71,126.26,1.55,11.31386861
Oct 4,11,U,5,136,125.45,126.99,1.54,11.32352941
Oct 4,11,U,14,140,128.05,129.66,1.61,11.5
Oct 4,11,U,27,142,126.05,127.63,1.58,11.12676056
Oct 4,11,D,5,134,128.95,130.5,1.55,11.56716418
Oct 4,11,D,14,134,128.34,129.86,1.52,11.34328358
Oct 4,11,D,27,137,126.68,128.21,1.53,11.16788321
Oct 5,12,U,5,140,126.34,127.07,0.73,5.214285714
Oct 5,12,U,14,141,127.56,127.9,0.34,2.411347518
Oct 5,12,U,27,144,129.24,129.8,0.56,3.888888889
Oct 5,12,D,5,137,126.67,127.82,1.15,8.394160584
Oct 5,12,D,14,138,126.69,128.15,1.46,10.57971014
Oct 5,12,D,27,139,126.01,126.85,0.84,6.043165468
Oct 4,13,U,5,137,124.08,125.59,1.51,11.02189781
Oct 4,13,U,14,134,125.94,127.16,1.22,9.104477612
Oct 4,13,U,27,141,125,126.54,1.54,10.92198582
Oct 4,13,D,5,136,126.55,127.87,1.32,9.705882353
Oct 4,13,D,14,136,126.55,128.21,1.66,12.20588235
Oct 4,13,D,27,139,123.49,124.96,1.47,10.57553957
Oct 4,14,U,5,142,126.93,128.21,1.28,9.014084507
Oct 4,14,U,14,138,125.79,126.55,0.76,5.507246377
Oct 4,14,U,27,139,125.37,126.76,1.39,10
Oct 4,14,D,5,136,124.11,125.39,1.28,9.411764706
Oct 4,14,D,14,134,125.09,126.42,1.33,9.925373134
Oct 4,14,D,27,135,124.78,125.98,1.2,8.888888889
Oct 4,15,U,5,not measured,127.24,128.57,1.33,#VALUE!
Oct 4,15,U,14,142,128.45,129.78,1.33,9.366197183
Oct 4,15,U,27,142,126.05,127.38,1.33,9.366197183
