Sample Time,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm),,,NOTE: 15 hertz run! (half the water velocity)
before turning on pump,1,U,5,145,125.93,125.8,-0.13,-0.8965517241,,,
before turning on pump,1,U,14,137,125.26,125.24,-0.02,-0.1459854015,,,
before turning on pump,1,U,27,143,126.45,126.35,-0.10,-0.6993006993,,,
before turning on pump,1,D,5,137,123.73,123.67,-0.06,-0.4379562044,,,
before turning on pump,1,D,14,139,125.02,124.96,-0.06,-0.4316546763,,,
before turning on pump,1,D,27,140,124.50,124.55,0.05,0.3571428571,,,
between turning on pump and adding sediment,2,U,5,143,127.46,127.71,0.25,1.748251748,,,
between turning on pump and adding sediment,2,U,14,137,128.27,128.57,0.30,2.189781022,,,
between turning on pump and adding sediment,2,U,27,140,128.95,129.05,0.10,0.7142857143,,,
between turning on pump and adding sediment,2,D,5,138,129.53,129.8,0.27,1.956521739,,,
between turning on pump and adding sediment,2,D,14,139,128.06,128.12,0.06,0.4316546763,,,
between turning on pump and adding sediment,2,D,27,138,127.50,127.71,0.21,1.52173913,,,
,3,U,5,141,125.44,126.67,1.23,8.723404255,,,
,3,U,14,139,127.31,128.97,1.66,11.94244604,,,
,3,U,27,141,128.44,129.91,1.47,10.42553191,,,
,3,D,5,134,126.99,131.98,4.99,37.23880597,,,
,3,D,14,134,124.63,127.36,2.73,20.37313433,,,
,3,D,27,136,126.56,128.41,1.85,13.60294118,,,
,4,U,5,144,131.64,134.08,2.44,16.94444444,,,
,4,U,14,140,128.93,130.97,2.04,14.57142857,,,
,4,U,27,141,129.56,131.85,2.29,16.24113475,,,
,4,D,5,138,126.52,130.72,4.20,30.43478261,,,
,4,D,14,134,129.01,132.26,3.25,24.25373134,,,
,4,D,27,138,128.31,130.4,2.09,15.14492754,,,
,5,U,5,135,128.59,130.79,2.20,16.2962963,,,
,5,U,14,137,128.24,131.29,3.05,22.26277372,,,
,5,U,27,136,128.58,130.58,2.00,14.70588235,,,
,5,D,5,132,129.74,133.24,3.50,26.51515152,,,
,5,D,14,136,126.18,128.63,2.45,18.01470588,,,
,5,D,27,102,128.06,130.64,2.58,25.29411765,,,
,6,U,5,143,127.81,131.18,3.37,23.56643357,,,
,6,U,14,142,127.45,130.83,3.38,23.8028169,,,
,6,U,27,145,129.71,132.88,3.17,21.86206897,,,
,6,D,5,144,126.72,129.91,3.19,22.15277778,,,
,6,D,14,133,128.47,131.77,3.30,24.81203008,,,
,6,D,27,124,128.30,131.24,2.94,23.70967742,,,
,7,U,5,144,129.63,132.55,2.92,20.27777778,,,
,7,U,14,145,128.36,131.61,3.25,22.4137931,,,
,7,U,27,143,130.47,133.69,3.22,22.51748252,,,
,7,D,5,132,128.25,130.28,2.03,15.37878788,,,
,7,D,14,132,129.22,131.57,2.35,17.8030303,,,
,7,D,27,125,127.06,129.11,2.05,16.4,,,
,8,U,5,143,126.75,128.89,2.14,14.96503497,,,
,8,U,14,140,128.48,130.8,2.32,16.57142857,,,
,8,U,27,142,129.18,131.39,2.21,15.56338028,,,
,8,D,5,135,128.80,130.71,1.91,14.14814815,,,
,8,D,14,132,127.61,129.36,1.75,13.25757576,,,
,8,D,27,129,126.89,128.62,1.73,13.41085271,,,
,9,U,5,144,126.22,128.07,1.85,12.84722222,,,
,9,U,14,141,127.52,129.35,1.83,12.9787234,,,
,9,U,27,139,130.68,132.49,1.81,13.02158273,,,
,9,D,5,131,129.30,131.08,1.78,13.58778626,,,
,9,D,14,132,128.94,131.03,2.09,15.83333333,,,
,9,D,27,126,126.83,128.38,1.55,12.3015873,,,
,10,U,5,140,127.69,129.43,1.74,12.42857143,,,
,10,U,14,138,127.60,129.39,1.79,12.97101449,,,
,10,U,27,141,127.92,129.62,1.70,12.05673759,,,
,10,D,5,132,125.05,126.9,1.85,14.01515152,,,
,10,D,14,130,127.58,129.44,1.86,14.30769231,,,
,10,D,27,127,125.20,126.83,1.63,12.83464567,,,
,11,U,5,143,128.16,129.97,1.81,12.65734266,,,
,11,U,14,141,127.27,128.97,1.70,12.05673759,,,
,11,U,27,144,125.86,127.63,1.77,12.29166667,,,
,11,D,5,137,128.42,130.28,1.86,13.57664234,,,
,11,D,14,130,126.69,128.43,1.74,13.38461538,,,
,11,D,27,129,126.58,128.25,1.67,12.94573643,,,
,12,U,5,139,125.41,127.35,1.94,13.95683453,,,
,12,U,14,137,125.03,126.76,1.73,12.62773723,,,
,12,U,27,143,125.92,127.68,1.76,12.30769231,,,
,12,D,5,131,126.60,128.2,1.60,12.21374046,,,
,12,D,14,131,127.64,129.31,1.67,12.7480916,,,
,12,D,27,126,125.43,127.18,1.75,13.88888889,,,
,13,U,5,142,127.37,129.16,1.79,12.6056338,,,
,13,U,14,137,129.68,131.31,1.63,11.89781022,,,
,13,U,27,140,129.33,130.99,1.66,11.85714286,,,
,13,D,5,136,127.55,129.08,1.53,11.25,,,
,13,D,14,130,128.19,129.81,1.62,12.46153846,,,
,13,D,27,127,127.66,129.02,1.36,10.70866142,,,
,14,U,5,139,129.04,130.34,1.30,9.352517986,,,
,14,U,14,140,129.69,130.14,0.45,3.214285714,,,
,14,U,27,140,128.54,129.81,1.27,9.071428571,,,
,14,D,5,124,124.84,125.42,0.58,4.677419355,,,
,14,D,14,128,129.71,130.82,1.11,8.671875,,,
,14,D,27,124,128.21,129.29,1.08,8.709677419,,,
,15,U,5,135,126.65,127.84,1.19,8.814814815,,,
,15,U,14,140,128.91,130.1,1.19,8.5,,,
,15,U,27,138,127.36,128.59,1.23,8.913043478,,,
,15,D,5,130,127.89,129.18,1.29,9.923076923,,,
