Sample Time,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm)
300,3,U,5,144,130.75,136.58,5.83,40.48611111
300,3,U,14,NA,130.3,NA,NA,NA
300,3,U,27,143,132.6,138.53,5.93,41.46853147
300,3,D,5,140,130.44,137.81,7.37,52.64285714
300,3,D,14,135,131.44,137.38,5.94,44
300,3,D,27,139,133.04,138.46,5.42,38.99280576
660,4,U,5,136,132.28,137.88,5.6,41.17647059
660,4,U,14,137,130.33,135.87,5.54,40.4379562
660,4,U,27,140,131.74,137.47,5.73,40.92857143
660,4,D,5,133,130.36,136.03,5.67,42.63157895
660,4,D,14,136,132.88,138.7,5.82,42.79411765
660,4,D,27,134,132.98,138.1,5.12,38.20895522
1020,5,U,5,143,134.11,139.24,5.13,35.87412587
1020,5,U,14,140,131.02,135.7,4.68,33.42857143
1020,5,U,27,140,129.79,134.61,4.82,34.42857143
1020,5,D,5,135,131.69,136.3,4.61,34.14814815
1020,5,D,14,138,130.45,135.17,4.72,34.20289855
1020,5,D,27,131,131.43,135.86,4.43,33.81679389
1380,6,U,5,142,131.28,135.64,4.36,30.70422535
1380,6,U,14,139,131.91,135.73,3.82,27.48201439
1380,6,U,27,141,131.22,135.15,3.93,27.87234043
1380,6,D,5,129,132.1,135.65,3.55,27.51937984
1380,6,D,14,136,133.07,137.18,4.11,30.22058824
1380,6,D,27,132,133.37,137.26,3.89,29.46969697
1740,7,U,5,142,134.27,137.55,3.28,23.09859155
1740,7,U,14,142,131.58,134.72,3.14,22.11267606
1740,7,U,27,142,132.37,135.19,2.82,19.85915493
1740,7,D,5,133,132,134.4,2.4,18.04511278
1740,7,D,14,135,131.75,134.46,2.71,20.07407407
1740,7,D,27,134,130.93,134.09,3.16,23.58208955
2100,8,U,5,144,132.1,134.91,2.81,19.51388889
2100,8,U,14,143,130.3,133.05,2.75,19.23076923
2100,8,U,27,141,132.53,134.66,2.13,15.10638298
2100,8,D,5,136,131.49,134.24,2.75,20.22058824
2100,8,D,14,133,132.76,135.46,2.7,20.30075188
2100,8,D,27,136,132.79,135.46,2.67,19.63235294
2460,9,U,5,143,130.06,132.82,2.76,19.3006993
2460,9,U,14,142,132.37,135.06,2.69,18.94366197
2460,9,U,27,143,133.89,135.68,1.79,12.51748252
2460,9,D,5,131,130.72,132,1.28,9.770992366
2460,9,D,14,131,131.9,133.15,1.25,9.541984733
2460,9,D,27,131,132.31,133.98,1.67,12.7480916
2820,10,U,5,141,132.21,134.43,2.22,15.74468085
2820,10,U,14,139,134.13,135.53,1.4,10.07194245
2820,10,U,27,139,130.06,131.5,1.44,10.35971223
2820,10,D,5,136,132.06,134.12,2.06,15.14705882
2820,10,D,14,134,130.59,131.98,1.39,10.37313433
2820,10,D,27,131,133.1,134.95,1.85,14.1221374
3180,11,U,5,141,132.52,134.32,1.8,12.76595745
3180,11,U,14,141,132.09,133,0.91,6.453900709
3180,11,U,27,140,133.06,133.98,0.92,6.571428571
3180,11,D,5,137,134,135.27,1.27,9.270072993
3180,11,D,14,141,132.09,133.83,1.74,12.34042553
3180,11,D,27,134,133.07,134.63,1.56,11.64179104
3540,12,U,5,139,131.89,132.61,0.72,5.179856115
3540,12,U,14,137,132.36,133.44,1.08,7.883211679
3540,12,U,27,135,132.57,134.51,1.94,14.37037037
3540,12,D,5,132,135.08,136.87,1.79,13.56060606
3540,12,D,14,136,132.11,133.05,0.94,6.911764706
3540,12,D,27,133,130.9,132.45,1.55,11.65413534
3900,13,U,5,139,132.38,133.38,1,7.194244604
3900,13,U,14,140,131.8,133.36,1.56,11.14285714
3900,13,U,27,139,131.59,133.11,1.52,10.9352518
3900,13,D,5,130,132.14,132.81,0.67,5.153846154
3900,13,D,14,127,134.29,135.8,1.51,11.88976378
3900,13,D,27,131,133.72,135.43,1.71,13.05343511
4260,14,U,5,139,131.82,133.05,1.23,8.848920863
4260,14,U,14,140,132.91,134.75,1.84,13.14285714
4260,14,U,27,137,132.2,133.75,1.55,11.31386861
4260,14,D,5,138,132.11,133.72,1.61,11.66666667
4260,14,D,14,139,132.2,133.08,0.88,6.330935252
4260,14,D,27,141,134.28,135.94,1.66,11.77304965
4620,15,U,5,141,133.54,134.37,0.83,5.886524823
4620,15,U,14,141,133.61,134.34,0.73,5.177304965
4620,15,U,27,139,132.75,133.58,0.83,5.971223022
4620,15,D,5,139,132.19,132.72,0.53,3.81294964
4620,15,D,14,139,131.42,132.2,0.78,5.611510791
4620,15,D,27,140,129.89,130.61,0.72,5.142857143
4980,16,U,5,140,131.95,132.43,0.48,3.428571429
4980,16,U,14,139,133.43,134.1,0.67,4.820143885
4980,16,U,27,140,133.61,134.57,0.96,6.857142857
4980,16,D,5,139,131.48,132.65,1.17,8.417266187
4980,16,D,14,140,130.51,131.72,1.21,8.642857143
4980,16,D,27,138,135.44,136.15,0.71,5.144927536
5340,17,U,5,,,,0,#DIV/0!
5340,17,U,14,,,,0,#DIV/0!
5340,17,U,27,,,,0,#DIV/0!
5340,17,D,5,,,,0,#DIV/0!
5340,17,D,14,,,,0,#DIV/0!
5340,17,D,27,,,,0,#DIV/0!
5700,18,U,5,143,133.67,135.29,1.62,11.32867133
5700,18,U,14,141,132.75,134.35,1.6,11.34751773
5700,18,U,27,140,131.53,133.18,1.65,11.78571429
5700,18,D,5,133,132.77,134.42,1.65,12.40601504
5700,18,D,14,134,135.43,136.44,1.01,7.537313433
5700,18,D,27,didn't measure,132.67,133.97,1.3,#VALUE!
6060,19,U,5,,,,0,#DIV/0!
6060,19,U,14,,,,0,#DIV/0!
6060,19,U,27,,,,0,#DIV/0!
6060,19,D,5,,,,0,#DIV/0!
6060,19,D,14,,,,0,#DIV/0!
6060,19,D,27,,,,0,#DIV/0!
6420,20,U,5,142,132.96,134.63,1.67,11.76056338
6420,20,U,14,141,134.52,136.15,1.63,11.56028369
6420,20,U,27,141,132.47,134.16,1.69,11.9858156
6420,20,D,5,135,134.81,136.58,1.77,13.11111111
6420,20,D,14,138,133.57,135.41,1.84,13.33333333
6420,20,D,27,130,133.95,135.6,1.65,12.69230769
