Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,142,JW,128.5,YS,135.43,CY,6.93,48.8028169
300,1,U,14,142,JW,130.6,YS,135.89,CY,5.29,37.25352113
300,1,U,27,143,JW,130.62,YS,136.52,CY,5.9,41.25874126
300,1,D,5,142,JW,131.36,YS,146.88,CY,15.52,109.2957746
300,1,D,14,140,JW,130.67,YS,138.92,CY,8.25,58.92857143
300,1,D,27,140,JW,130.68,YS,137.38,CY,6.7,47.85714286
600,2,U,5,142,JW,131.27,YS,138.89,CY,7.62,53.66197183
600,2,U,14,142,JW,130.33,YS,138.12,CY,7.79,54.85915493
600,2,U,27,143,JW,129.17,YS,136.97,CY,7.8,54.54545455
600,2,D,5,137,JW,131.39,YS,137.88,CY,6.49,47.37226277
600,2,D,14,139,JW,130.31,YS,137.14,CY,6.83,49.13669065
600,2,D,27,138,JW,131.34,YS,138.17,CY,6.83,49.49275362
900,3,U,5,141,YS,132.31,YS,137.15,CY,4.84,34.32624113
900,3,U,14,141,CY,130.78,YS,136.68,CY,5.9,41.84397163
900,3,U,27,142,CY,128.42,YS,133.68,CY,5.26,37.04225352
900,3,D,5,138,CY,131.58,YS,137.01,CY,5.43,39.34782609
900,3,D,14,138,CY,131.39,YS,136.83,CY,5.44,39.42028986
900,3,D,27,139,CY,130.63,YS,135.86,CY,5.23,37.62589928
1200,4,U,5,141,CY,131.26,YS,136.43,CY,5.17,36.66666667
1200,4,U,14,141,CY,129.41,YS,134.57,CY,5.16,36.59574468
1200,4,U,27,142,CY,131.2,YS,136.25,CY,5.05,35.56338028
1200,4,D,5,138,CY,130.38,YS,135.72,CY,5.34,38.69565217
1200,4,D,14,138,CY,131.79,YS,136.9,CY,5.11,37.02898551
1200,4,D,27,139,CY,131.7,YS,136.77,CY,5.07,36.47482014
1500,5,U,5,143,CY,130.2,YS,135.08,CY,4.88,34.12587413
1500,5,U,14,142,CY,131.76,YS,136.54,CY,4.78,33.66197183
1500,5,U,27,142,CY,131.47,YS,136.32,CY,4.85,34.15492958
1500,5,D,5,138,CY,130.49,YS,134.99,CY,4.5,32.60869565
1500,5,D,14,138,CY,130.97,YS,135.49,CY,4.52,32.75362319
1500,5,D,27,139,CY,130.61,YS,135.08,CY,4.47,32.15827338
1800,6,U,5,141,CY,130.02,YS,134.39,CY,4.37,30.9929078
1800,6,U,14,142,CY,129.55,YS,133.76,CY,4.21,29.64788732
1800,6,U,27,142,CY,131.5,YS,135.85,CY,4.35,30.63380282
1800,6,D,5,137,CY,130.54,YS,135.07,CY,4.53,33.06569343
1800,6,D,14,139,CY,129.89,YS,134.32,CY,4.43,31.8705036
1800,6,D,27,139,CY,129.89,YS,133.9,CY,4.01,28.84892086
2100,7,U,5,143,CY,130.19,YS,134.35,CY,4.16,29.09090909
2100,7,U,14,141,CY,131.76,YS,135.78,CY,4.02,28.5106383
